Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637176658443193100	500	280	0	1	1000	0	0	0	0	0	0	0
637176658443293100	500	286	0	1	1000	0	0	0	0	0	0	0
637176658443393101	500	297	0	1	1000	0	0	0	0	0	0	0
637176658443493101	500	308	0	1	1000	0	0	0	0	0	0	0
637176658443593101	500	319	0	1	1000	0	0	0	0	0	0	0
637176658443693101	500	330	0	1	1000	0	0	0	0	0	0	0
637176658443793101	500	336	0	1	1000	0	0	0	0	0	0	0
637176658443893101	500	347	0	1	1000	0	0	0	0	0	0	0
637176658443993101	500	358	0	1	1000	0	0	0	0	0	0	0
637176658444093102	500	369	0	1	1000	0	0	0	0	0	0	0
637176658444193102	500	380	0	1	1000	0	0	0	0	0	0	0
637176658444293102	500	386	0	1	1000	0	0	0	0	0	0	0
637176658444393102	500	397	0	1	1000	0	0	0	0	0	0	0
637176658444493102	500	408	0	1	1000	0	0	0	0	0	0	0
637176658444593102	500	419	0	1	1000	0	0	0	0	0	0	0
637176658444693102	500	431	0	1	1000	0	0	0	0	0	0	0
637176658444793103	500	436	0	1	1000	0	0	0	0	0	0	0
637176658444893103	500	447	0	1	1000	0	0	0	0	0	0	0
637176658444993103	500	459	0	1	1000	0	0	0	0	0	0	0
637176658445093103	500	470	0	1	1000	0	0	0	0	0	0	0
637176658445193103	500	476	0	1	1000	0	0	0	0	0	0	0
637176658445293103	500	486	0	1	1000	0	0	0	0	0	0	0
637176658445393103	500	497	0	1	1000	0	0	0	0	0	0	0
637176658445493104	500	500	1	1	1000	9	0	1	1	0	0	1
637176658445593104	500	500	1	1	1000	20	0	1	0	0	1	0
637176658445693104	500	500	1	1	1000	26	0	1	0	1	0	1
637176658445793104	500	500	1	1	1000	36	0	1	0	0	1	0
637176658445893104	500	500	1	1	1000	48	0	1	0	0	0	0
637176658445993104	500	500	1	1	1000	59	0	1	1	1	0	1
637176658446093104	500	500	1	1	1000	70	0	1	0	1	1	0
637176658446193105	500	500	1	1	1000	76	0	1	1	0	0	0
637176658446293105	500	500	1	1	1000	87	0	1	1	1	1	0
637176658446393105	500	500	1	1	1000	98	0	1	0	1	0	0
637176658446493105	500	500	1	1	1000	109	0	1	1	0	1	1
637176658446593105	500	500	1	1	1000	120	0	1	0	0	0	1
637176658446693105	500	500	1	1	1000	126	0	1	0	1	1	1
637176658446793105	500	500	1	1	1000	137	0	1	1	0	0	1
637176658446893106	500	500	1	1	1000	148	0	1	0	0	1	0
637176658446993106	500	500	1	1	1000	160	0	1	0	0	0	0
